//Some tables have a BLOB table tied to them. In this case if the row exists increment the version and insert a new entry. If the row doesnt exist use version 1. If the row was unchanged do nothing and leave as is
//Site comes from /prisma/seed/import/config.ts
=== ProcessType ===
//For anything Process realted later it will have to use the name to link back and get the ID
name                                               Description
-------------------------------------------------- ----------------------------------------------------------------------------------------------------
ALL                                                All
ASSY                                               Full Assembly
BLANK                                              BLANK
CNC                                                CNC
MET                                                Metallization
MOLD                                               Molding
N/A                                                N/A
PAINT                                              Paint
SUBASSY                                            Sub Assembly

(9 rows affected)

=== Product ===
//For anything Part realted later it will have to use the name to link back and get the ID
sku                                                                                                  Name                                               weight
WK214                                                                                              Tidy Super Storer Base Medium                     0
WK215                                                                                              Tidy Super Storer Base Small                      0
WK216                                                                                              Tidy Super Storer Lid Large                       0
WK217                                                                                              Tidy Super Storer Lid Medium                      0
WK218                                                                                              Tidy Super Storer Lid Small                       0
WK222                                                                                              Tidy T/C/S Base                                   0
WK223                                                                                             Tidy T/C/S Lid                                    0
WK228                                                                                              Tidy Tumblers                                     NULL
WK154                                                                                              Tidy Twin Slice Lunch Box Base                    NULL
WK155                                                                                              Tidy Twin Slice Lunch Box Lid                     NULL
WK230                                                                                              Tidy Veg Rack Black Tubes                         0
WK231                                                                                              Tidy Veg Rack Long Tubes                          0
WK232                                                                                             Tidy Veg Rack NEW Long Tubes                      NULL
WK234                                                                                              Tidy Veg Rack Sqaure                              0
WK236                                                                                             Tidy Veg Rack Sqaure Black                        0
WK237                                                                                             Tidy Veg Rack Sqaure Silver                       0
WK235                                                                                             Tidy Veg Rack Sqaure White                        0
WK233                                                                                              Tidy Veg Rack Tops (8cav)                         0
WK239                                                                                               Gutter Brackets                                    0
WK032                                                                                                Gutter Brackets NTL SA 300/box                     0
WK035                                                                                               Sunfield Crate(Red)-942                            0
WK229                                                                                              Internal Airvents                                  0
WK240                                                                                               Jet 4 Prong Hook Clip                              0
WK241                                                                                              Jet Dumbell Runners 20/shot                        0
WK244                                                                                               Jet R5 Hooks 24/shot                               0
WK242                                                                                              Jet Wheel Runnes Body/1000                         0
WK243                                                                                              Jet Wheel Runnes Rivot/1000                        0
WK033                                                                                               Medium Candy Jar                                   0
WK039                                                                                             Atlas 150L Drum Lid                                 0
WK041                                                                                             Atlas 220L Drum Lid - SENTINEL                     0
WK042                                                                                             Atlas Biscuit Box                                   0
WK040                                                                                             Atlas Crate (A301) Tamato Black                     0
WK038                                                                                             Atlas Crate (Coastline Drinks) A973              0
WK245                                                                                               Solo C Runners                                     0
WK246                                                                                             Solo Hush Runners 1000/pk                          0
WK172                                                                                              Snack Pal Base 1500ml                             0
WK168                                                                                              Snack Pal Base 500ml                              0
WK170                                                                                              Snack Pal Base 800ml                              36
WK173                                                                                             Snack Pal Division Base 1500ml                    0
WK174                                                                                             Snack Pal Lid 1500ml                              0
WK169                                                                                             Snack Pal Lid 500ml                               0
WK171                                                                                             Snack Pal Lid 800ml                               0
WK009                                                                                              Nylon Bush - Colton                                NULL
WK250                                                                                               POSTER FRAME                                       NULL
WK252                                                                                               POSTER FRAME BACK CLIPS (10CAV)                    NULL
WK251                                                                                               POSTER SIDE CLIPS (SET OF 5)                       NULL
WK005                                                                                             Cova Base - Crystal Styrene                        0
WK004                                                                                              Cova Butter Dish - Crystal Styrene                 0
WK006                                                                                             Cova Lid - Crystal Styrene                         0
WK269                                                                                               RC Component Trolley Back Rest                     0
WK268                                                                                               RC Component Trolley Child Seat                    0
WK271                                                                                               RC Component Trolley Divider Flap                  0
WK270                                                                                               RC Component Trolley Swivel Back Rest              0
WK254                                                                                               Radiance 2L Square Base                            NULL
WK253                                                                                               Radianc 2L Square Lid                              NULL
WK037                                                                                               Summer Special Crate(Black)-942                    0
WK247                                                                                               Ultra C Caps/1000                                  0
WK255                                                                                                Orion Black Handle 1000/box                       0
WK256                                                                                                Orion Tan Handle 1000/box                         0
WK257                                                                                               Trials                                             NULL
WK011                                                                                              Unifresh Caddy                                     NULL

(269 rows affected)

=== Material ===
//For anything Material realted later it will have to use the name to link back and get the ID
name                                               shortCode                                          materialNumber                                     description
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- --------------------------------------------------
ABS K3n-BV White                                   RM01                                              RM01                                              ABS K3n-BV White
ABS Recyc (Black)                                  RM02                                              RM02                                              ABS Recyc (Black)
Acetyl  Durex 6730 Natural                         RM03                                              RM03                                              Acetyl  Durex 6730 Natural
JPS251                                             RM04                                             RM04                                             JPS251
General Purpose Styrene                            RM05                                             RM05                                             General Purpose Styrene
HDPE HK4380 (Injection Grade)                      RM06                                             RM06                                             HDPE HK4380 (Injection Grade)
HDPE (Blow Grade)                                  RM07                                             RM07                                             HDPE (Blow Grade)
HDPE HK4380 (Injection Grade)-ATLASPAK              RM08                                              RM08                                              HDPE HK4380 (Injection Grade)-ATLASPAK
HDPE Pelletized (Injection Grade)-ATLASPAK          RM09                                              RM09                                              HDPE Pelletized (Injection Grade)-ATLASPAK
HDPE Summit                                       RM10                                              RM10                                              HDPE Summit
HDPE Regrind - ATLASPAK                             RM11                                              RM11                                              HDPE Regrind - ATLASPAK
LDPE rn4270q (50mfi)                               RM12                                             RM12                                             LDPE rn4270q (50mfi)
LDPE RN2150q - Atlaspak                             RM13                                             RM13                                             LDPE RN2150q - Atlaspak
LDPE                                               RM14                                             RM14                                             LDPE
LDPE JN560                                         RM15                                                RM15                                                LDPE JN560
RM16-Blue (Colton)                               RM16                                             RM16                                             RM16-Blue (Colton)
NYLON 66                                           RM17                                            RM17                                            NYLON 66
NYLON RUBBER MIX                                   RM18                                            RM18                                            NYLON RUBBER MIX
POLYCARBONATE                                      RM19                                              RM19                                              POLYCARBONATE
Polyprop Homo                                      RM20                                             RM20                                             Polyprop Homo
